report_name,report_agency,date,visits,language
Browser language,Department of Agriculture,1/21/24,445,zh-tw
Browser language,Department of Agriculture,1/21/24,442,ru-ru
Browser language,Department of Agriculture,1/21/24,439,it-it
Browser language,Department of Agriculture,1/21/24,396,nl-nl
Browser language,Department of Agriculture,1/21/24,292,tr-tr
Browser language,Department of Agriculture,1/21/24,287,de
Browser language,Department of Agriculture,1/21/24,280,ar
Browser language,Department of Agriculture,1/21/24,263,fr-ca
Browser language,Department of Agriculture,1/21/24,261,vi-vn
Browser language,Department of Agriculture,1/21/24,248,"zh-cn,zh"
Browser language,Department of Agriculture,1/21/24,228,fr
Browser language,Department of Agriculture,1/21/24,228,pl-pl
Browser language,Department of Agriculture,1/21/24,224,id-id
Browser language,Department of Agriculture,1/21/24,211,en-ph
Browser language,Department of Agriculture,1/21/24,193,en-nz
Browser language,Department of Agriculture,1/21/24,189,el-gr
Browser language,Department of Agriculture,1/21/24,173,sv-se
Browser language,Department of Agriculture,1/21/24,173,th-th
Browser language,Department of Agriculture,1/21/24,163,en-za
Browser language,Department of Agriculture,1/21/24,149,he-il
Browser language,Department of Agriculture,1/21/24,143,ko
Browser language,Department of Agriculture,1/21/24,141,en-sg
Browser language,Department of Agriculture,1/21/24,136,pt-pt
Browser language,Department of Agriculture,1/21/24,119,hu-hu
Browser language,Department of Agriculture,1/21/24,113,uk-ua
Browser language,Department of Agriculture,1/21/24,112,nb-no
